Name,GallonsPer100Miles,MPG,Cylinders,Displacement100ci,Horsepower100,Weight1000lb,acceleration
chevrolet chevelle malibu,5.6,18,8,3.07,1.3,3.504,12
buick skylark 320,6.7,15,8,3.5,1.65,3.693,11.5
plymouth satellite,5.6,18,8,3.18,1.5,3.436,11
amc rebel sst,6.3,16,8,3.04,1.5,3.433,12
ford torino,5.9,17,8,3.02,1.4,3.449,10.5
ford galaxie 500,6.7,15,8,4.29,1.98,4.341,10
chevrolet impala,7.1,14,8,4.54,2.2,4.354,9
plymouth fury iii,7.1,14,8,4.4,2.15,4.312,8.5
pontiac catalina,7.1,14,8,4.55,2.25,4.425,10
amc ambassador dpl,6.7,15,8,3.9,1.9,3.85,8.5
dodge challenger se,6.7,15,8,3.83,1.7,3.563,10
plymouth 'cuda 340,7.1,14,8,3.4,1.6,3.609,8
chevrolet monte carlo,6.7,15,8,4,1.5,3.761,9.5
buick estate wagon (sw),7.1,14,8,4.55,2.25,3.086,10
toyota corona mark ii,4.2,24,4,1.13,0.95,2.372,15
plymouth duster,4.5,22,6,1.98,0.95,2.833,15.5
amc hornet,5.6,18,6,1.99,0.97,2.774,15.5
ford maverick,4.8,21,6,2,0.85,2.587,16
datsun pl510,3.7,27,4,0.97,0.88,2.13,14.5
volkswagen 1131 deluxe sedan,3.8,26,4,0.97,0.46,1.835,20.5
peugeot 504,4.0,25,4,1.1,0.87,2.672,17.5
audi 100 ls,4.2,24,4,1.07,0.9,2.43,14.5
saab 99e,4.0,25,4,1.04,0.95,2.375,17.5
bmw 2002,3.8,26,4,1.21,1.13,2.234,12.5
amc gremlin,4.8,21,6,1.99,0.9,2.648,15
ford f250,10.0,10,8,3.6,2.15,4.615,14
chevy c20,10.0,10,8,3.07,2,4.376,15
dodge d200,9.1,11,8,3.18,2.1,4.382,13.5
hi 1200d,11.1,9,8,3.04,1.93,4.732,18.5
datsun pl510,3.7,27,4,0.97,0.88,2.13,14.5
chevrolet vega 2300,3.6,28,4,1.4,0.9,2.264,15.5
toyota corona,4.0,25,4,1.13,0.95,2.228,14
amc gremlin,5.3,19,6,2.32,1,2.634,13
plymouth satellite custom,6.3,16,6,2.25,1.05,3.439,15.5
chevrolet chevelle malibu,5.9,17,6,2.5,1,3.329,15.5
ford torino 500,5.3,19,6,2.5,0.88,3.302,15.5
amc matador,5.6,18,6,2.32,1,3.288,15.5
chevrolet impala,7.1,14,8,3.5,1.65,4.209,12
pontiac catalina brougham,7.1,14,8,4,1.75,4.464,11.5
ford galaxie 500,7.1,14,8,3.51,1.53,4.154,13.5
plymouth fury iii,7.1,14,8,3.18,1.5,4.096,13
dodge monaco (sw),8.3,12,8,3.83,1.8,4.955,11.5
ford country squire (sw),7.7,13,8,4,1.7,4.746,12
pontiac safari (sw),7.7,13,8,4,1.75,5.14,12
amc hornet sportabout (sw),5.6,18,6,2.58,1.1,2.962,13.5
chevrolet vega (sw),4.5,22,4,1.4,0.72,2.408,19
pontiac firebird,5.3,19,6,2.5,1,3.282,15
ford mustang,5.6,18,6,2.5,0.88,3.139,14.5
mercury capri 2000,4.3,23,4,1.22,0.86,2.22,14
opel 1900,3.6,28,4,1.16,0.9,2.123,14
peugeot 304,3.3,30,4,0.79,0.7,2.074,19.5
fiat 124b,3.3,30,4,0.88,0.76,2.065,14.5
toyota corolla 1200,3.2,31,4,0.71,0.65,1.773,19
datsun 1200,2.9,35,4,0.72,0.69,1.613,18
volkswagen model 111,3.7,27,4,0.97,0.6,1.834,19
plymouth cricket,3.8,26,4,0.91,0.7,1.955,20.5
toyota corona hardtop,4.2,24,4,1.13,0.95,2.278,15.5
dodge colt hardtop,4.0,25,4,0.975,0.8,2.126,17
volkswagen type 3,4.3,23,4,0.97,0.54,2.254,23.5
chevrolet vega,5.0,20,4,1.4,0.9,2.408,19.5
ford pinto runabout,4.8,21,4,1.22,0.86,2.226,16.5
chevrolet impala,7.7,13,8,3.5,1.65,4.274,12
pontiac catalina,7.1,14,8,4,1.75,4.385,12
plymouth fury iii,6.7,15,8,3.18,1.5,4.135,13.5
ford galaxie 500,7.1,14,8,3.51,1.53,4.129,13
amc ambassador sst,5.9,17,8,3.04,1.5,3.672,11.5
mercury marquis,9.1,11,8,4.29,2.08,4.633,11
buick lesabre custom,7.7,13,8,3.5,1.55,4.502,13.5
oldsmobile delta 88 royale,8.3,12,8,3.5,1.6,4.456,13.5
chrysler newport royal,7.7,13,8,4,1.9,4.422,12.5
mazda rx2 coupe,5.3,19,3,0.7,0.97,2.33,13.5
amc matador (sw),6.7,15,8,3.04,1.5,3.892,12.5
chevrolet chevelle concours (sw),7.7,13,8,3.07,1.3,4.098,14
ford gran torino (sw),7.7,13,8,3.02,1.4,4.294,16
plymouth satellite custom (sw),7.1,14,8,3.18,1.5,4.077,14
volvo 145e (sw),5.6,18,4,1.21,1.12,2.933,14.5
volkswagen 411 (sw),4.5,22,4,1.21,0.76,2.511,18
peugeot 504 (sw),4.8,21,4,1.2,0.87,2.979,19.5
renault 12 (sw),3.8,26,4,0.96,0.69,2.189,18
ford pinto (sw),4.5,22,4,1.22,0.86,2.395,16
datsun 510 (sw),3.6,28,4,0.97,0.92,2.288,17
toyouta corona mark ii (sw),4.3,23,4,1.2,0.97,2.506,14.5
dodge colt (sw),3.6,28,4,0.98,0.8,2.164,15
toyota corolla 1600 (sw),3.7,27,4,0.97,0.88,2.1,16.5
buick century 350,7.7,13,8,3.5,1.75,4.1,13
amc matador,7.1,14,8,3.04,1.5,3.672,11.5
chevrolet malibu,7.7,13,8,3.5,1.45,3.988,13
ford gran torino,7.1,14,8,3.02,1.37,4.042,14.5
dodge coronet custom,6.7,15,8,3.18,1.5,3.777,12.5
mercury marquis brougham,8.3,12,8,4.29,1.98,4.952,11.5
chevrolet caprice classic,7.7,13,8,4,1.5,4.464,12
ford ltd,7.7,13,8,3.51,1.58,4.363,13
plymouth fury gran sedan,7.1,14,8,3.18,1.5,4.237,14.5
chrysler new yorker brougham,7.7,13,8,4.4,2.15,4.735,11
buick electra 225 custom,8.3,12,8,4.55,2.25,4.951,11
amc ambassador brougham,7.7,13,8,3.6,1.75,3.821,11
plymouth valiant,5.6,18,6,2.25,1.05,3.121,16.5
chevrolet nova custom,6.3,16,6,2.5,1,3.278,18
amc hornet,5.6,18,6,2.32,1,2.945,16
ford maverick,5.6,18,6,2.5,0.88,3.021,16.5
plymouth duster,4.3,23,6,1.98,0.95,2.904,16
volkswagen super beetle,3.8,26,4,0.97,0.46,1.95,21
chevrolet impala,9.1,11,8,4,1.5,4.997,14
ford country,8.3,12,8,4,1.67,4.906,12.5
plymouth custom suburb,7.7,13,8,3.6,1.7,4.654,13
oldsmobile vista cruiser,8.3,12,8,3.5,1.8,4.499,12.5
amc gremlin,5.6,18,6,2.32,1,2.789,15
toyota carina,5.0,20,4,0.97,0.88,2.279,19
chevrolet vega,4.8,21,4,1.4,0.72,2.401,19.5
datsun 610,4.5,22,4,1.08,0.94,2.379,16.5
maxda rx3,5.6,18,3,0.7,0.9,2.124,13.5
ford pinto,5.3,19,4,1.22,0.85,2.31,18.5
mercury capri v6,4.8,21,6,1.55,1.07,2.472,14
fiat 124 sport coupe,3.8,26,4,0.98,0.9,2.265,15.5
chevrolet monte carlo s,6.7,15,8,3.5,1.45,4.082,13
pontiac grand prix,6.3,16,8,4,2.3,4.278,9.5
fiat 128,3.4,29,4,0.68,0.49,1.867,19.5
opel manta,4.2,24,4,1.16,0.75,2.158,15.5
audi 100ls,5.0,20,4,1.14,0.91,2.582,14
volvo 144ea,5.3,19,4,1.21,1.12,2.868,15.5
dodge dart custom,6.7,15,8,3.18,1.5,3.399,11
saab 99le,4.2,24,4,1.21,1.1,2.66,14
toyota mark ii,5.0,20,6,1.56,1.22,2.807,13.5
oldsmobile omega,9.1,11,8,3.5,1.8,3.664,11
plymouth duster,5.0,20,6,1.98,0.95,3.102,16.5
amc hornet,5.3,19,6,2.32,1,2.901,16
chevrolet nova,6.7,15,6,2.5,1,3.336,17
datsun b210,3.2,31,4,0.79,0.67,1.95,19
ford pinto,3.8,26,4,1.22,0.8,2.451,16.5
toyota corolla 1200,3.1,32,4,0.71,0.65,1.836,21
chevrolet vega,4.0,25,4,1.4,0.75,2.542,17
chevrolet chevelle malibu classic,6.3,16,6,2.5,1,3.781,17
amc matador,6.3,16,6,2.58,1.1,3.632,18
plymouth satellite sebring,5.6,18,6,2.25,1.05,3.613,16.5
ford gran torino,6.3,16,8,3.02,1.4,4.141,14
buick century luxus (sw),7.7,13,8,3.5,1.5,4.699,14.5
dodge coronet custom (sw),7.1,14,8,3.18,1.5,4.457,13.5
ford gran torino (sw),7.1,14,8,3.02,1.4,4.638,16
amc matador (sw),7.1,14,8,3.04,1.5,4.257,15.5
audi fox,3.4,29,4,0.98,0.83,2.219,16.5
volkswagen dasher,3.8,26,4,0.79,0.67,1.963,15.5
opel manta,3.8,26,4,0.97,0.78,2.3,14.5
toyota corona,3.2,31,4,0.76,0.52,1.649,16.5
datsun 710,3.1,32,4,0.83,0.61,2.003,19
dodge colt,3.6,28,4,0.9,0.75,2.125,14.5
fiat 128,4.2,24,4,0.9,0.75,2.108,15.5
fiat 124 tc,3.8,26,4,1.16,0.75,2.246,14
honda civic,4.2,24,4,1.2,0.97,2.489,15
subaru,3.8,26,4,1.08,0.93,2.391,15.5
fiat x1.9,3.2,31,4,0.79,0.67,2,16
plymouth valiant custom,5.3,19,6,2.25,0.95,3.264,16
chevrolet nova,5.6,18,6,2.5,1.05,3.459,16
mercury monarch,6.7,15,6,2.5,0.72,3.432,21
ford maverick,6.7,15,6,2.5,0.72,3.158,19.5
pontiac catalina,6.3,16,8,4,1.7,4.668,11.5
chevrolet bel air,6.7,15,8,3.5,1.45,4.44,14
plymouth grand fury,6.3,16,8,3.18,1.5,4.498,14.5
ford ltd,7.1,14,8,3.51,1.48,4.657,13.5
buick century,5.9,17,6,2.31,1.1,3.907,21
chevroelt chevelle malibu,6.3,16,6,2.5,1.05,3.897,18.5
amc matador,6.7,15,6,2.58,1.1,3.73,19
plymouth fury,5.6,18,6,2.25,0.95,3.785,19
buick skyhawk,4.8,21,6,2.31,1.1,3.039,15
chevrolet monza 2+2,5.0,20,8,2.62,1.1,3.221,13.5
ford mustang ii,7.7,13,8,3.02,1.29,3.169,12
toyota corolla,3.4,29,4,0.97,0.75,2.171,16
ford pinto,4.3,23,4,1.4,0.83,2.639,17
amc gremlin,5.0,20,6,2.32,1,2.914,16
pontiac astro,4.3,23,4,1.4,0.78,2.592,18.5
toyota corona,4.2,24,4,1.34,0.96,2.702,13.5
volkswagen dasher,4.0,25,4,0.9,0.71,2.223,16.5
datsun 710,4.2,24,4,1.19,0.97,2.545,17
ford pinto,5.6,18,6,1.71,0.97,2.984,14.5
volkswagen rabbit,3.4,29,4,0.9,0.7,1.937,14
amc pacer,5.3,19,6,2.32,0.9,3.211,17
audi 100ls,4.3,23,4,1.15,0.95,2.694,15
peugeot 504,4.3,23,4,1.2,0.88,2.957,17
volvo 244dl,4.5,22,4,1.21,0.98,2.945,14.5
saab 99le,4.0,25,4,1.21,1.15,2.671,13.5
honda civic cvcc,3.0,33,4,0.91,0.53,1.795,17.5
fiat 131,3.6,28,4,1.07,0.86,2.464,15.5
opel 1900,4.0,25,4,1.16,0.81,2.22,16.9
capri ii,4.0,25,4,1.4,0.92,2.572,14.9
dodge colt,3.8,26,4,0.98,0.79,2.255,17.7
renault 12tl,3.7,27,4,1.01,0.83,2.202,15.3
chevrolet chevelle malibu classic,5.7,17.5,8,3.05,1.4,4.215,13
dodge coronet brougham,6.3,16,8,3.18,1.5,4.19,13
amc matador,6.5,15.5,8,3.04,1.2,3.962,13.9
ford gran torino,6.9,14.5,8,3.51,1.52,4.215,12.8
plymouth valiant,4.5,22,6,2.25,1,3.233,15.4
chevrolet nova,4.5,22,6,2.5,1.05,3.353,14.5
ford maverick,4.2,24,6,2,0.81,3.012,17.6
amc hornet,4.4,22.5,6,2.32,0.9,3.085,17.6
chevrolet chevette,3.4,29,4,0.85,0.52,2.035,22.2
chevrolet woody,4.1,24.5,4,0.98,0.6,2.164,22.1
vw rabbit,3.4,29,4,0.9,0.7,1.937,14.2
honda civic,3.0,33,4,0.91,0.53,1.795,17.4
dodge aspen se,5.0,20,6,2.25,1,3.651,17.7
ford granada ghia,5.6,18,6,2.5,0.78,3.574,21
pontiac ventura sj,5.4,18.5,6,2.5,1.1,3.645,16.2
amc pacer d/l,5.7,17.5,6,2.58,0.95,3.193,17.8
volkswagen rabbit,3.4,29.5,4,0.97,0.71,1.825,12.2
datsun b-210,3.1,32,4,0.85,0.7,1.99,17
toyota corolla,3.6,28,4,0.97,0.75,2.155,16.4
ford pinto,3.8,26.5,4,1.4,0.72,2.565,13.6
volvo 245,5.0,20,4,1.3,1.02,3.15,15.7
plymouth volare premier v8,7.7,13,8,3.18,1.5,3.94,13.2
peugeot 504,5.3,19,4,1.2,0.88,3.27,21.9
toyota mark ii,5.3,19,6,1.56,1.08,2.93,15.5
mercedes-benz 280s,6.1,16.5,6,1.68,1.2,3.82,16.7
cadillac seville,6.1,16.5,8,3.5,1.8,4.38,12.1
chevy c10,7.7,13,8,3.5,1.45,4.055,12
ford f108,7.7,13,8,3.02,1.3,3.87,15
dodge d100,7.7,13,8,3.18,1.5,3.755,14
honda accord cvcc,3.2,31.5,4,0.98,0.68,2.045,18.5
buick opel isuzu deluxe,3.3,30,4,1.11,0.8,2.155,14.8
renault 5 gtl,2.8,36,4,0.79,0.58,1.825,18.6
plymouth arrow gs,3.9,25.5,4,1.22,0.96,2.3,15.5
datsun f-10 hatchback,3.0,33.5,4,0.85,0.7,1.945,16.8
chevrolet caprice classic,5.7,17.5,8,3.05,1.45,3.88,12.5
oldsmobile cutlass supreme,5.9,17,8,2.6,1.1,4.06,19
dodge monaco brougham,6.5,15.5,8,3.18,1.45,4.14,13.7
mercury cougar brougham,6.7,15,8,3.02,1.3,4.295,14.9
chevrolet concours,5.7,17.5,6,2.5,1.1,3.52,16.4
buick skylark,4.9,20.5,6,2.31,1.05,3.425,16.9
plymouth volare custom,5.3,19,6,2.25,1,3.63,17.7
ford granada,5.4,18.5,6,2.5,0.98,3.525,19
pontiac grand prix lj,6.3,16,8,4,1.8,4.22,11.1
chevrolet monte carlo landau,6.5,15.5,8,3.5,1.7,4.165,11.4
chrysler cordoba,6.5,15.5,8,4,1.9,4.325,12.2
ford thunderbird,6.3,16,8,3.51,1.49,4.335,14.5
volkswagen rabbit custom,3.4,29,4,0.97,0.78,1.94,14.5
pontiac sunbird coupe,4.1,24.5,4,1.51,0.88,2.74,16
toyota corolla liftback,3.8,26,4,0.97,0.75,2.265,18.2
ford mustang ii 2+2,3.9,25.5,4,1.4,0.89,2.755,15.8
chevrolet chevette,3.3,30.5,4,0.98,0.63,2.051,17
dodge colt m/m,3.0,33.5,4,0.98,0.83,2.075,15.9
subaru dl,3.3,30,4,0.97,0.67,1.985,16.4
volkswagen dasher,3.3,30.5,4,0.97,0.78,2.19,14.1
datsun 810,4.5,22,6,1.46,0.97,2.815,14.5
bmw 320i,4.7,21.5,4,1.21,1.1,2.6,12.8
mazda rx-4,4.7,21.5,3,0.8,1.1,2.72,13.5
volkswagen rabbit custom diesel,2.3,43.1,4,0.9,0.48,1.985,21.5
ford fiesta,2.8,36.1,4,0.98,0.66,1.8,14.4
mazda glc deluxe,3.0,32.8,4,0.78,0.52,1.985,19.4
datsun b210 gx,2.5,39.4,4,0.85,0.7,2.07,18.6
honda civic cvcc,2.8,36.1,4,0.91,0.6,1.8,16.4
oldsmobile cutlass salon brougham,5.0,19.9,8,2.6,1.1,3.365,15.5
dodge diplomat,5.2,19.4,8,3.18,1.4,3.735,13.2
mercury monarch ghia,5.0,20.2,8,3.02,1.39,3.57,12.8
pontiac phoenix lj,5.2,19.2,6,2.31,1.05,3.535,19.2
chevrolet malibu,4.9,20.5,6,2,0.95,3.155,18.2
ford fairmont (auto),5.0,20.2,6,2,0.85,2.965,15.8
ford fairmont (man),4.0,25.1,4,1.4,0.88,2.72,15.4
plymouth volare,4.9,20.5,6,2.25,1,3.43,17.2
amc concord,5.2,19.4,6,2.32,0.9,3.21,17.2
buick century special,4.9,20.6,6,2.31,1.05,3.38,15.8
mercury zephyr,4.8,20.8,6,2,0.85,3.07,16.7
dodge aspen,5.4,18.6,6,2.25,1.1,3.62,18.7
amc concord d/l,5.5,18.1,6,2.58,1.2,3.41,15.1
chevrolet monte carlo landau,5.2,19.2,8,3.05,1.45,3.425,13.2
buick regal sport coupe (turbo),5.6,17.7,6,2.31,1.65,3.445,13.4
ford futura,5.5,18.1,8,3.02,1.39,3.205,11.2
dodge magnum xe,5.7,17.5,8,3.18,1.4,4.08,13.7
chevrolet chevette,3.3,30,4,0.98,0.68,2.155,16.5
toyota corona,3.6,27.5,4,1.34,0.95,2.56,14.2
datsun 510,3.7,27.2,4,1.19,0.97,2.3,14.7
dodge omni,3.2,30.9,4,1.05,0.75,2.23,14.5
toyota celica gt liftback,4.7,21.1,4,1.34,0.95,2.515,14.8
plymouth sapporo,4.3,23.2,4,1.56,1.05,2.745,16.7
oldsmobile starfire sx,4.2,23.8,4,1.51,0.85,2.855,17.6
datsun 200-sx,4.2,23.9,4,1.19,0.97,2.405,14.9
audi 5000,4.9,20.3,5,1.31,1.03,2.83,15.9
volvo 264gl,5.9,17,6,1.63,1.25,3.14,13.6
saab 99gle,4.6,21.6,4,1.21,1.15,2.795,15.7
peugeot 604sl,6.2,16.2,6,1.63,1.33,3.41,15.8
volkswagen scirocco,3.2,31.5,4,0.89,0.71,1.99,14.9
honda accord lx,3.4,29.5,4,0.98,0.68,2.135,16.6
pontiac lemans v6,4.7,21.5,6,2.31,1.15,3.245,15.4
mercury zephyr 6,5.1,19.8,6,2,0.85,2.99,18.2
ford fairmont 4,4.5,22.3,4,1.4,0.88,2.89,17.3
amc concord dl 6,5.0,20.2,6,2.32,0.9,3.265,18.2
dodge aspen 6,4.9,20.6,6,2.25,1.1,3.36,16.6
chevrolet caprice classic,5.9,17,8,3.05,1.3,3.84,15.4
ford ltd landau,5.7,17.6,8,3.02,1.29,3.725,13.4
mercury grand marquis,6.1,16.5,8,3.51,1.38,3.955,13.2
dodge st. regis,5.5,18.2,8,3.18,1.35,3.83,15.2
buick estate wagon (sw),5.9,16.9,8,3.5,1.55,4.36,14.9
ford country squire (sw),6.5,15.5,8,3.51,1.42,4.054,14.3
chevrolet malibu classic (sw),5.2,19.2,8,2.67,1.25,3.605,15
chrysler lebaron town @ country (sw),5.4,18.5,8,3.6,1.5,3.94,13
vw rabbit custom,3.1,31.9,4,0.89,0.71,1.925,14
maxda glc deluxe,2.9,34.1,4,0.86,0.65,1.975,15.2
dodge colt hatchback custom,2.8,35.7,4,0.98,0.8,1.915,14.4
amc spirit dl,3.6,27.4,4,1.21,0.8,2.67,15
mercedes benz 300d,3.9,25.4,5,1.83,0.77,3.53,20.1
cadillac eldorado,4.3,23,8,3.5,1.25,3.9,17.4
peugeot 504,3.7,27.2,4,1.41,0.71,3.19,24.8
oldsmobile cutlass salon brougham,4.2,23.9,8,2.6,0.9,3.42,22.2
plymouth horizon,2.9,34.2,4,1.05,0.7,2.2,13.2
plymouth horizon tc3,2.9,34.5,4,1.05,0.7,2.15,14.9
datsun 210,3.1,31.8,4,0.85,0.65,2.02,19.2
fiat strada custom,2.7,37.3,4,0.91,0.69,2.13,14.7
buick skylark limited,3.5,28.4,4,1.51,0.9,2.67,16
chevrolet citation,3.5,28.8,6,1.73,1.15,2.595,11.3
oldsmobile omega brougham,3.7,26.8,6,1.73,1.15,2.7,12.9
pontiac phoenix,3.0,33.5,4,1.51,0.9,2.556,13.2
vw rabbit,2.4,41.5,4,0.98,0.76,2.144,14.7
toyota corolla tercel,2.6,38.1,4,0.89,0.6,1.968,18.8
chevrolet chevette,3.1,32.1,4,0.98,0.7,2.12,15.5
datsun 310,2.7,37.2,4,0.86,0.65,2.019,16.4
chevrolet citation,3.6,28,4,1.51,0.9,2.678,16.5
ford fairmont,3.8,26.4,4,1.4,0.88,2.87,18.1
amc concord,4.1,24.3,4,1.51,0.9,3.003,20.1
dodge aspen,5.2,19.1,6,2.25,0.9,3.381,18.7
audi 4000,2.9,34.3,4,0.97,0.78,2.188,15.8
toyota corona liftback,3.4,29.8,4,1.34,0.9,2.711,15.5
mazda 626,3.2,31.3,4,1.2,0.75,2.542,17.5
datsun 510 hatchback,2.7,37,4,1.19,0.92,2.434,15
toyota corolla,3.1,32.2,4,1.08,0.75,2.265,15.2
mazda glc,2.1,46.6,4,0.86,0.65,2.11,17.9
dodge colt,3.6,27.9,4,1.56,1.05,2.8,14.4
datsun 210,2.5,40.8,4,0.85,0.65,2.11,19.2
vw rabbit c (diesel),2.3,44.3,4,0.9,0.48,2.085,21.7
vw dasher (diesel),2.3,43.4,4,0.9,0.48,2.335,23.7
audi 5000s (diesel),2.7,36.4,5,1.21,0.67,2.95,19.9
mercedes-benz 240d,3.3,30,4,1.46,0.67,3.25,21.8
honda civic 1500 gl,2.2,44.6,4,0.91,0.67,1.85,13.8
subaru dl,3.0,33.8,4,0.97,0.67,2.145,18
vokswagen rabbit,3.4,29.8,4,0.89,0.62,1.845,15.3
datsun 280-zx,3.1,32.7,6,1.68,1.32,2.91,11.4
mazda rx-7 gs,4.2,23.7,3,0.7,1,2.42,12.5
triumph tr7 coupe,2.9,35,4,1.22,0.88,2.5,15.1
honda accord,3.1,32.4,4,1.07,0.72,2.29,17
plymouth reliant,3.7,27.2,4,1.35,0.84,2.49,15.7
buick skylark,3.8,26.6,4,1.51,0.84,2.635,16.4
dodge aries wagon (sw),3.9,25.8,4,1.56,0.92,2.62,14.4
chevrolet citation,4.3,23.5,6,1.73,1.1,2.725,12.6
plymouth reliant,3.3,30,4,1.35,0.84,2.385,12.9
toyota starlet,2.6,39.1,4,0.79,0.58,1.755,16.9
plymouth champ,2.6,39,4,0.86,0.64,1.875,16.4
honda civic 1300,2.8,35.1,4,0.81,0.6,1.76,16.1
subaru,3.1,32.3,4,0.97,0.67,2.065,17.8
datsun 210 mpg,2.7,37,4,0.85,0.65,1.975,19.4
toyota tercel,2.7,37.7,4,0.89,0.62,2.05,17.3
mazda glc 4,2.9,34.1,4,0.91,0.68,1.985,16
plymouth horizon 4,2.9,34.7,4,1.05,0.63,2.215,14.9
ford escort 4w,2.9,34.4,4,0.98,0.65,2.045,16.2
ford escort 2h,3.3,29.9,4,0.98,0.65,2.38,20.7
volkswagen jetta,3.0,33,4,1.05,0.74,2.19,14.2
honda prelude,3.0,33.7,4,1.07,0.75,2.21,14.4
toyota corolla,3.1,32.4,4,1.08,0.75,2.35,16.8
datsun 200sx,3.0,32.9,4,1.19,1,2.615,14.8
mazda 626,3.2,31.6,4,1.2,0.74,2.635,18.3
peugeot 505s turbo diesel,3.6,28.1,4,1.41,0.8,3.23,20.4
volvo diesel,3.3,30.7,6,1.45,0.76,3.16,19.6
toyota cressida,3.9,25.4,6,1.68,1.16,2.9,12.6
datsun 810 maxima,4.1,24.2,6,1.46,1.2,2.93,13.8
buick century,4.5,22.4,6,2.31,1.1,3.415,15.8
oldsmobile cutlass ls,3.8,26.6,8,3.5,1.05,3.725,19
ford granada gl,5.0,20.2,6,2,0.88,3.06,17.1
chrysler lebaron salon,5.7,17.6,6,2.25,0.85,3.465,16.6
chevrolet cavalier,3.6,28,4,1.12,0.88,2.605,19.6
chevrolet cavalier wagon,3.7,27,4,1.12,0.88,2.64,18.6
chevrolet cavalier 2-door,2.9,34,4,1.12,0.88,2.395,18
pontiac j2000 se hatchback,3.2,31,4,1.12,0.85,2.575,16.2
dodge aries se,3.4,29,4,1.35,0.84,2.525,16
pontiac phoenix,3.7,27,4,1.51,0.9,2.735,18
ford fairmont futura,4.2,24,4,1.4,0.92,2.865,16.4
volkswagen rabbit l,2.8,36,4,1.05,0.74,1.98,15.3
mazda glc custom l,2.7,37,4,0.91,0.68,2.025,18.2
mazda glc custom,3.2,31,4,0.91,0.68,1.97,17.6
plymouth horizon miser,2.6,38,4,1.05,0.63,2.125,14.7
mercury lynx l,2.8,36,4,0.98,0.7,2.125,17.3
nissan stanza xe,2.8,36,4,1.2,0.88,2.16,14.5
honda accord,2.8,36,4,1.07,0.75,2.205,14.5
toyota corolla,2.9,34,4,1.08,0.7,2.245,16.9
honda civic,2.6,38,4,0.91,0.67,1.965,15
honda civic (auto),3.1,32,4,0.91,0.67,1.965,15.7
datsun 310 gx,2.6,38,4,0.91,0.67,1.995,16.2
buick century limited,4.0,25,6,1.81,1.1,2.945,16.4
oldsmobile cutlass ciera (diesel),2.6,38,6,2.62,0.85,3.015,17
chrysler lebaron medallion,3.8,26,4,1.56,0.92,2.585,14.5
ford granada l,4.5,22,6,2.32,1.12,2.835,14.7
toyota celica gt,3.1,32,4,1.44,0.96,2.665,13.9
dodge charger 2.2,2.8,36,4,1.35,0.84,2.37,13
chevrolet camaro,3.7,27,4,1.51,0.9,2.95,17.3
ford mustang gl,3.7,27,4,1.4,0.86,2.79,15.6
vw pickup,2.3,44,4,0.97,0.52,2.13,24.6
dodge rampage,3.1,32,4,1.35,0.84,2.295,11.6
ford ranger,3.6,28,4,1.2,0.79,2.625,18.6
chevy s-10,3.2,31,4,1.19,0.82,2.72,19.4
